symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
AJG,2023-07-03,2024-07-02,10000.0,10730.520294189453,7.305202941894532,22.0,70.0,30.0,False,N/A,True,
AIZ,2023-07-03,2024-07-02,10000.0,10388.83950805664,3.8883950805664065,10.0,70.0,30.0,False,N/A,True,
T,2023-07-03,2024-07-02,10000.0,10166.600408554077,1.6660040855407714,11.0,70.0,30.0,False,N/A,True,
ATO,2023-07-03,2024-07-02,10000.0,10318.719917297363,3.187199172973633,24.0,70.0,30.0,False,N/A,True,
ADSK,2023-07-03,2024-07-02,10000.0,12461.089828491211,24.610898284912107,31.0,70.0,30.0,False,N/A,True,
ADP,2023-07-03,2024-07-02,10000.0,10878.620498657227,8.786204986572265,32.0,70.0,30.0,False,N/A,True,
AZO,2023-07-03,2024-07-02,10000.0,10520.56005859375,5.2056005859375,27.0,70.0,30.0,False,N/A,True,
AVB,2023-07-03,2024-07-02,10000.0,9866.359664916992,-1.336403350830078,18.0,70.0,30.0,False,N/A,True,
AVY,2023-07-03,2024-07-02,10000.0,12438.080535888672,24.380805358886718,19.0,70.0,30.0,False,N/A,True,
AXON,2023-07-03,2024-07-02,10000.0,12992.649780273438,29.926497802734374,23.0,70.0,30.0,False,N/A,True,
BKR,2023-07-03,2024-07-02,10000.0,10208.461084365845,2.084610843658447,19.0,70.0,30.0,False,N/A,True,
BALL,2023-07-03,2024-07-02,10000.0,10030.090072631836,0.30090072631835935,26.0,70.0,30.0,False,N/A,True,
BAC,2023-07-03,2024-07-02,10000.0,11937.99944114685,19.379994411468505,25.0,70.0,30.0,False,N/A,True,
BK,2023-07-03,2024-07-02,10000.0,10729.300647735596,7.293006477355957,13.0,70.0,30.0,False,N/A,True,
BBWI,2023-07-03,2024-07-02,10000.0,10705.099712371826,7.050997123718261,26.0,70.0,30.0,False,N/A,True,
BAX,2023-07-03,2024-07-02,10000.0,6595.949863433838,-34.04050136566162,78.0,70.0,30.0,False,N/A,True,
BDX,2023-07-03,2024-07-02,10000.0,9078.209686279297,-9.217903137207031,27.0,70.0,30.0,False,N/A,True,
BRK.B,,,,,,,,,,,,index -1 is out of bounds for axis 0 with size 0
BBY,2023-07-03,2024-07-02,10000.0,11963.219802856445,19.632198028564453,33.0,70.0,30.0,False,N/A,True,
BIO,2023-07-03,2024-07-02,10000.0,6693.749237060547,-33.06250762939453,45.0,70.0,30.0,False,N/A,True,
TECH,2023-07-03,2024-07-02,10000.0,7582.489700317383,-24.175102996826173,54.0,70.0,30.0,False,N/A,True,
BIIB,2023-07-03,2024-07-02,10000.0,8429.329635620117,-15.706703643798829,56.0,70.0,30.0,False,N/A,True,
BLK,2023-07-03,2024-07-02,10000.0,10636.000122070312,6.360001220703125,46.0,70.0,30.0,False,N/A,True,
BX,2023-07-03,2024-07-02,10000.0,10966.070358276367,9.660703582763672,32.0,70.0,30.0,False,N/A,True,
BA,2023-07-03,2024-07-02,10000.0,7138.340301513672,-28.61659698486328,55.0,70.0,30.0,False,N/A,True,
BKNG,2023-07-03,2024-07-02,10000.0,10758.89013671875,7.588901367187501,15.0,70.0,30.0,False,N/A,True,
BWA,2023-07-03,2024-07-02,10000.0,8757.449348449707,-12.42550651550293,50.0,70.0,30.0,False,N/A,True,
BXP,2023-07-03,2024-07-02,10000.0,9472.35039138794,-5.276496086120606,19.0,70.0,30.0,False,N/A,True,
BSX,2023-07-03,2024-07-02,10000.0,10748.719940185547,7.487199401855468,3.0,70.0,30.0,False,N/A,True,
BMY,2023-07-03,2024-07-02,10000.0,7888.340118408203,-21.11659881591797,72.0,70.0,30.0,False,N/A,True,
AVGO,2023-07-03,2024-07-02,10000.0,12944.769287109375,29.44769287109375,4.0,70.0,30.0,False,N/A,True,
BR,2023-07-03,2024-07-02,10000.0,9604.100494384766,-3.958995056152344,23.0,70.0,30.0,False,N/A,True,
BRO,2023-07-03,2024-07-02,10000.0,11298.699752807617,12.986997528076172,14.0,70.0,30.0,False,N/A,True,
BF.B,,,,,,,,,,,,index -1 is out of bounds for axis 0 with size 0
